bookno,Title,Author,Language
38531-8.txt, The Beckoning Hand and Other Stories, Grant Allen, English
24348-0.txt, The Choice, Edith Wharton, English
978-0.txt, The Yates Pride, Mary E. Wilkins Freeman, English
2135-0.txt, Stories By English Authors: London, Various, English
47789-0.txt, The Doctor's Red Lamp, Various, English
22579.txt, Bread Overhead, Fritz Reuter Leiber, English
27523-8.txt, Masterpieces of Mystery In Four Volumes, Various, English
22357.txt, Danger! and Other Stories, Arthur Conan Doyle, English
30035.txt, Off Course, Mack Reynolds (AKA Dallas McCord Reynolds), English
32150.txt, Prison of a Billion Years, C.H. Thames, English
59242.txt, Witness, George H. Smith, English
31840.txt, Ring Once for Death, Robert Andrew Arthur, English
51622.txt, Extracts from the Galactick Almanack, Larry M. Harris, English
23530-8.txt, Adventures in Many Lands, Various, English
32346.txt, Keep Your Shape, Robert Sheckley, English
57006-0.txt, The Freaks of Mayfair, E. F. Benson, English
17622-0.txt, Knulp, Hermann Hesse, German
429.txt, The Magic Egg and Other Stories, Frank Stockton, English
37128-8.txt, Kleine Dichtungen, Robert Walser, German
55650-8.txt, Stray Leaves from Strange Literature - Fantastics and other Fancies, Lafcadio Hearn, English
51193.txt, Pictures Don't Lie, Katherine MacLean, English
773-0.txt, Lord Arthur Savile's Crime, Oscar Wilde, English
13180-0.txt, The Tracer of Lost Persons, Robert W. Chambers, English
7283.txt, Short Stories and Selections for Use in the Secondary Schools, Emilie Kip Baker, English
56870-8.txt, Tales from Gorky, Maxim Gorky, English
428.txt, Frivolous Cupid, Anthony Hope, English
2545-0.txt, When God Laughs and Other Stories, Jack London, English
32347.txt, Time Fuze, Gordon Randall Garrett, English
29954.txt, There is a Reaper ..., Charles V. De Vet, English
53034.txt, The God-Plllnk, Jerome Bixby, English
29940.txt, Dogfight--1973, Dallas McCord Reynolds, English
31841.txt, The Water Eater, Win Marks, English
924-0.txt, To be Read at Dusk, Charles Dickens, English
59243.txt, The Pacifists, Charles E. Fritch, English
24351-0.txt, The Triumph Of Night, Edith Wharton, English
13505-8.txt, The Duel and Other Stories, Anton Chekhov, English
839-0.txt, New Arabian Nights, Robert Louis Stevenson, English
51353.txt, Dr. Kometevsky's Day, Fritz Leiber, English
7870-8.txt, Tales of Daring and Danger, George Alfred Henty, English
20526-8.txt," test of story, 64;", Charles Raymond Barrett, English
50844.txt, Proof of the Pudding, Robert Sheckley, English
32087-8.txt, The Executioner, Frank Riley, English
24450-8.txt, Bones, Edgar Wallace, English
51596.txt, Aloys, R. A. Lafferty, English
